RNum,Type,Dealer Name,Phone,Address
142,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai SM Raja,"Jl. Sisingamangaraja No. 140B, Kel. West Pasar Merah, Kec. Medan Kota, Medan, Sumatera Utara",061-42910000
143,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Yos Sudarso,"Jl. Yos Sudarso No. 20, Medan",061-6645475
144,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Gatot Subroto,"Jl. Gatot Subroto No. 263, Lalalng, Kec. Medan Sunggal, Medan",061-6645745
145,Appointed Body &amp; Paint,Infinity Auto,"Jl. Kapten Muslim No.226A, Helvetia, Medan",061-80030456
146,"Penjualan,AC TYPE",Hyundai Binjai,"Jl. Soekarno Hatta No. 11, Tanah Tinggi, Kec. Binjai Tim, Kota Binjai, Sumatera Utara",061-42372931
147,Penjualan,Hyundai Parepare,"Jl. Bau Massepe 253, Cappa Galung, Kec. Bacukiki Barat, Kota Parepare, Sulawesi Selatan ",0421-2924814
148,"Penjualan,Servis dan Suku Cadang",Hyundai Palopo,"Jl. A. Djemma No. 130 Samping Pengadilan Negeri Kel. Tompotikka, Kec. Wara, Kota Palopo",0471-327277
149,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Palu,"Jl. Yos Sudarso No. 02, Talise, Kec. Palu Tim, Kota Palu, Sulawesi Tengah",0451-8454588
150,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Tarakan,"Jl. Mulawarman No. 11 RT.043, Kota Tarakan, Kalimantan Utara",0551-3843888
151,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kendari,"Jl. Malaka No.18, Kambu, Kec.Kambu, Kota Kendari, Sulawesi Tenggara",0401-3096852
152,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai Aceh,"Jl. Soekarno Hatta No.8, Daroy Kameu, Kec. Daruh Imarah, Kab. Aceh Besar, Aceh Sebrang SPBU Lampeuneurut",0651-42500
153,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kupang,"Jl. Timor Raya Km 7 Samping lampu merah Pulau Indah., Kel. Oesapa Barat, Kec. Kelapa Lima, Kota Kupang, Nusa Tenggara Timur",0380-8460861
154,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Gorontalo,"Jl. Nani Wartabone No.36, Kel.Biawao, Kec. Kota Selatan, Kota Gorontalo, Gorontalo",0435-8533461
155,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Manado,"Jl. Jendral Sudirman No. 18 - 20 (Samping Gedung Juang 45), Kec. Wenang, Kota Manado, Sulawesi Utara",0431-8806803
156,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Ambon,"Jl. Dr. Sitanala No. 84, Wainitu, Nusaniwe, Kota Ambon, Maluku",0911-320107
157,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Jayapura,"Jl. Raya Abepantai Tanah Hitam RT. 002 RW. 009, Kel. Abepantai, Kec. Abepura, Kota Jayapura, Papua",0967-587000
