RNum,Type,Dealer Name,Phone,Address
91,Appointed Body &amp; Paint,Jagorawi Bangka,"Jl. Taib, Dul, Kec. Pangkalan Baru, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33684",0
92,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Adisucipto Solo,"Jl. Adisucipto No. 137, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah",0811-60399000
93,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Solo Baru,"Jl. Ir Soekarno RT 5 / RW 4 Madegondo, Sukoharjo",0271-7880845
94,Appointed Body &amp; Paint,MJM Auto,"Jl. Keleng, Dusun III, Telukan, Grogol Kab. Sukoharjo",0271-623293
95,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Madiun,"Jl. Mayjen Sungkono No.141, Nambangan Lor, Kec. Manguharjo, Kota Madiun, Jawa Timur",0351-463554
96,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Lubuklinggau,"Jl. Sultan Mahmud Badaruddin II, Tanah Periuk, Lubuk Linggau, Sumatera Selatan",0733-4554489
97,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Bengkulu,"Jl. H. Adam Malik No. 8.5 Kel. Sido Mulyo, Kec. Gading Cemp., Kota Bengkulu, Bengkulu",0736-5515555
98,"Penjualan,Servis dan Suku Cadang",Hyundai Tuban,"Jl. Panglima Sudirman No.117, Kutorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur",0811-33328889
99,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kediri,"Jl. Letjend. Mt Haryono. Singonegaran, Kec. Pesantren, Kota Kediri, Jawa Timur",0354-684902
100,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Jambi,"Jl. Pangeran Hidayat No. 38, Kel. Suka Karya, Kec. Kota Baru, Kota Jambi, Jambi",0741-3042222
101,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Gresik,"Jl. DR. Wahidin Sudiro Husodo No. 15, Putat Luar, Sukorame, Kec. Gresik, Kabupaten Gresik, Jawa Timur",031-39929555
102,Appointed Body &amp; Paint,Sarana Cat - Jeruk,"Jl. Raya Jeruk No.2, Lidah Kulon, Kec. Lakarsantri, Kota SBY, Jawa Timur 60213",0
103,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Wiyung,"Jl. Lidah Kulon No. 13-17 Lakarsantri, Surabaya",031-7526999
104,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai HR Muhammad,"Jl. Mayjen HR. Muhammad No.35C, Pradahkalikendal, Kec. Dukuhpakis, Kota SBY, Jawa Timur",031-99146888
105,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Basuki Rahmat,"Jl. Basuki Rahmat No. 14, Kedungdoro, Kec. Tegalsari, Kota Surabaya, Jawa Timur",031-99257111
106,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai Waru,"Jl. Raya Waru No. 55, Waru, Sidoarjo, Surabaya, Jawa Timur",031-85582361
107,Appointed Body &amp; Paint,Tekno Surabaya,"Jl. Raya Waru No.82, Sidoarjo, Jawa Timur",031-29717000
